2025-11-19 21:57:52.173 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:40:08.348 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:40:32.353 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:41:19.866 -05:00 [INF] Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ProblemDetails'.
2025-11-19 22:41:26.880 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:42:33.625 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:49:07.012 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:49:53.444 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:50:17.889 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:52:12.584 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:52:53.654 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:53:09.531 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 22:59:04.887 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-11-19 23:00:16.338 -05:00 [INF] Executing ObjectResult, writing value of type 'System.Linq.Enumerable+ListSelectIterator`2[[Play.Catalog.Service.Entities.Item, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
