2025-12-03 21:43:18.381 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:43:34.509 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:43:39.108 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:43:44.759 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:44:31.206 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:45:04.665 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:45:37.630 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:56:04.630 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 21:59:58.545 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:00:20.461 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:00:25.404 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:00:35.370 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:02:28.647 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:02:56.840 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:03:06.503 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:06:46.735 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:06:51.805 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:06:58.064 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
2025-12-03 22:07:21.100 -05:00 [INF] Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[Play.Catalog.Service.DTOs.ItemDto, Play.Catalog.Service, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
